Date,open,high,low,close,volume,unknown
2021-12-20,680.95,681.85,660.1,674.35,9934646,0
2021-12-17,707.5,708,685.1,688.9,7844705,0
2021-12-16,719,721.95,705.05,709.65,7309187,0
2021-12-15,712.4,720,707.55,712.5,7692888,0
2021-12-14,701,714,697.6,710.9,8612512,0
2021-12-13,699,711.9,693.1,704,13634563,0
2021-12-10,690.1,691.95,683.75,688.05,5549743,0
2021-12-09,698.15,699.9,688,693.95,7021395,0
2021-12-08,695,701.55,687.65,697.1,11670826,0
2021-12-07,672,691.55,670,687,15123987,0
2021-12-06,674,678.75,661.15,663.1,8022785,0
2021-12-03,679.1,687.35,671,673,9505985,0
2021-12-02,675,678.8,668.05,676.1,8612601,0
2021-12-01,664.9,681.4,660,679.6,16184200,0
2021-11-30,648,677.45,648,655.65,24699809,0
2021-11-29,665.05,665.45,649.35,651.1,12084376,0
2021-11-26,669,674.9,660.45,661.75,10252753,0
2021-11-25,686,687,676.55,679.9,9760486,0
2021-11-24,690,695.1,682.05,685.15,11463429,0
2021-11-23,681,692.65,677.35,685.65,16575348,0
2021-11-22,713,713,677.4,686.4,16741079,0
2021-11-18,715,716,701.9,706.35,13458109,0
2021-11-17,721,724.9,706.75,712.35,18083445,0
2021-11-16,733.25,733.3,721.3,726.15,8978763,0
2021-11-15,738,744,728,733.25,12849161,0
2021-11-12,742.8,742.8,733.5,736.05,9372897,0
2021-11-11,748,748,735.1,738.05,6195359,0
2021-11-10,742.7,753.35,732,749.35,10844883,0
2021-11-09,750,753.95,743.35,745.05,12120207,0
2021-11-08,761,761,741.5,751.05,13872770,0
2021-11-04,757,757.05,751.4,752.95,793433,0
2021-11-03,759.45,762.65,748.5,750.6,10529505,0
2021-11-02,752.5,761.35,748.05,755.85,11812106,0
2021-11-01,755,760,740,752.35,11694854,0
2021-10-29,762,762,714,742,21343427,0
2021-10-28,787.5,789,754.65,758.35,19320926,0
2021-10-27,840,840.8,785.65,787.5,39606414,0
2021-10-26,848.4,851.65,823.5,841.9,16771909,0
2021-10-25,830.1,866.9,825.45,845.1,29193770,0
2021-10-22,812,825,806.8,816.7,10646970,0
2021-10-21,807.95,813.5,792.3,807.8,7405639,0
2021-10-20,800.6,813.8,792,804.8,9023067,0
2021-10-19,820,827,798.5,801.65,10633732,0
2021-10-18,820,820,802.05,813.3,11014585,0
2021-10-14,799,804,788,802.05,7157116,0
2021-10-13,799.95,804.5,793.2,794.6,4381414,0
2021-10-12,788,799.7,785.45,797.15,5098502,0
2021-10-11,782,793,779,787.15,4417455,0
2021-10-08,781.9,785,776,781.95,4295686,0
2021-10-07,790,790.15,774.1,777.1,6622698,0
2021-10-06,782.25,794.2,776,778.95,5092479,0
2021-10-05,774.4,784,771.2,782.6,3945224,0
2021-10-04,771.1,781.15,770.3,779,5845527,0
2021-10-01,763.4,771.7,754,768.15,6089895,0
2021-09-30,779.9,787.35,764.85,766.55,9178187,0
2021-09-29,783,789.5,778.5,782.15,14241004,0
2021-09-28,802,805.6,778,789.2,7369680,0
2021-09-27,802.9,808.8,792.8,796.95,7715259,0
2021-09-24,812.55,816.95,795.1,798.05,5184626,0
2021-09-23,794.35,814.5,792.55,812.15,9043492,0
2021-09-22,792.5,796.8,786,788.35,4359142,0
2021-09-21,795.25,799,772.3,795.35,7833561,0
2021-09-20,800,808.55,791.5,795.85,6306484,0
2021-09-17,808.85,820.7,797.25,807.35,14641298,0
2021-09-16,792.5,807.45,789.1,802.6,15446511,0
2021-09-15,796,797.45,787,791.4,4075592,0
2021-09-14,791,801,790,794.4,6301208,0
2021-09-13,786,790.45,783.5,788.35,4814443,0
2021-09-09,789,793.7,784.2,790.15,4909325,0
2021-09-08,790,797.35,783,794.7,5903035,0
2021-09-07,798,799.4,782.05,787.85,6926921,0
2021-09-06,800.85,805.9,795.35,800.8,4539192,0
2021-09-03,804.5,809.9,787.7,798,7509746,0
2021-09-02,795.5,806.1,792.4,802.7,6799617,0
2021-09-01,798.1,819,795.4,798.9,19972195,0
2021-08-31,784.9,789,778.4,786.5,12114870,0
2021-08-30,756,789.5,754,784.05,12517507,0
2021-08-27,746.5,759.6,741,752.4,5841967,0
2021-08-26,734.1,750,732.35,746.35,6492155,0
2021-08-25,748.2,751.45,735.2,739.05,6726509,0
2021-08-24,736,749.7,731.5,746.35,4537435,0
2021-08-23,749.5,749.5,734.4,736.1,3614761,0
2021-08-20,745.8,749,736.2,740.25,6092036,0
2021-08-18,763.8,763.8,750.5,754.4,5370460,0
2021-08-17,759,760,749.3,756.75,5576110,0
2021-08-16,756,765.8,756,762,3967629,0
2021-08-13,757.5,764.5,754.2,759.9,4239376,0
2021-08-12,759,763.4,753.35,757.35,3572081,0
2021-08-11,765,769,752.5,760.8,6429468,0
2021-08-10,755.5,764,755,761.55,8309248,0
2021-08-09,741,757.4,739.75,755.5,6064688,0
2021-08-06,747,757.65,738.8,740.85,6522599,0
2021-08-05,753,755,743.5,749.3,7246991,0
2021-08-04,740.5,757,738.65,753.8,9744349,0
2021-08-03,724,740.85,719.3,738.6,9265839,0
2021-08-02,715,725.55,712,721.15,6823345,0
2021-07-30,718.05,718.65,707.15,708.9,10358450,0
2021-07-29,720,728.5,716,717.25,6855673,0
2021-07-28,734.8,734.8,712.1,722.9,11102486,0
2021-07-27,750.5,756,729.1,731.7,15441543,0
2021-07-26,754,760,745,756.3,7890992,0
2021-07-23,749,764,740.1,755.4,6604465,0
2021-07-22,750.1,758.5,741,746.75,7876163,0
2021-07-20,755,755.2,744.2,745.75,5815740,0
2021-07-19,752.3,766.65,749.6,755.2,5554486,0
2021-07-16,776,776,766.55,771.15,2913553,0
2021-07-15,770.5,778.25,766.5,774.15,4239868,0
2021-07-14,770.95,773.45,764,770.05,5621924,0
2021-07-13,759,773,755,770.75,9810976,0
2021-07-12,752.5,757.8,748.3,753.6,4475466,0
2021-07-09,752,752.9,740.25,747.35,5782119,0
2021-07-08,760,767.15,751.7,754.4,4188267,0
2021-07-07,755.9,764,752.25,762.9,3573368,0
2021-07-06,757,767,755.2,758.35,5529485,0
2021-07-05,757.1,762,753.4,760.35,4680089,0
2021-07-02,747.6,752.85,744,750.65,3557647,0
2021-07-01,750,754.4,744.5,746.45,5695690,0
2021-06-30,752.5,760.5,746.55,748.3,5459970,0
2021-06-29,761,763.55,750.05,751.95,7500655,0
2021-06-28,764.55,769.6,757.75,762.4,7672743,0
2021-06-25,737.55,765.95,737.55,761.35,11170037,0
2021-06-24,735.9,742.95,731.1,739.15,5313822,0
2021-06-23,743.2,743.75,730.8,732.35,6154147,0
2021-06-22,743.2,749,737.05,739.35,6727233,0
2021-06-21,725,740.9,720.5,739.55,6464497,0
2021-06-18,742.15,743.2,722.25,736.3,8143792,0
2021-06-17,741.95,745.4,736,738.6,6674329,0
2021-06-16,748.8,756.85,746.25,749.8,8614096,0
2021-06-15,736,752,732,750.9,9686490,0
2021-06-14,735.9,741.4,725,736.25,5190670,0
2021-06-11,746.25,746.25,737,738.45,4840759,0
2021-06-10,739.45,745.35,732.9,744.25,7795125,0
2021-06-09,746,751.25,730.15,736.75,8004726,0
2021-06-08,751,751.1,739.5,746.35,6426815,0
2021-06-07,743.1,753.95,741.5,751.1,6986728,0
2021-06-04,751,759.9,740.1,742.05,10336011,0
2021-06-03,743,752.25,739,750.65,8170508,0
2021-06-02,744.8,745.3,734.2,737,9973043,0
2021-06-01,753.55,754,741.15,745.15,6660243,0
2021-05-31,737.9,753,734,750.7,9275086,0
2021-05-28,752.6,759.7,738.5,739.85,17149692,0
2021-05-27,737.2,753.85,731,750.35,23040846,0
2021-05-26,738,741.4,729.5,735.1,9081086,0
2021-05-25,744.4,745,725.85,731.55,11344261,0
2021-05-24,730.4,747.5,726.75,741.15,15716900,0
2021-05-21,707,733.4,707,730.9,15883692,0
2021-05-20,708.6,714.4,704.55,705.9,18840413,0
2021-05-19,704,723.7,702.2,716.8,20244016,0
2021-05-18,720,726,708.5,711.65,19519055,0
2021-05-17,691.5,710.3,684.4,709.25,12099197,0
2021-05-14,695,698.6,681.4,685,9377968,0
2021-05-12,704,705.75,689.05,691.3,10856584,0
2021-05-11,704.8,713.7,703,707.35,12736700,0
2021-05-10,723.5,725,714,715.25,7980462,0
2021-05-07,721,726.9,714,716.75,7131970,0
2021-05-06,718,722.85,710.25,715.75,9484934,0
2021-05-05,709,719.05,700,717.2,11155033,0
2021-05-04,704,718.65,698.1,700.35,11980155,0
2021-05-03,706,708,692.1,702.75,13752878,0
2021-04-30,705,729.85,705,714.9,23011654,0
2021-04-29,712,726.9,707,719.4,25939327,0
2021-04-28,708,712.5,688.15,708.15,54060587,0
2021-04-27,691.1,703.9,684.1,699.55,46559967,0
2021-04-26,694,703.8,684.5,700.45,21646184,0
2021-04-23,656,677.5,650.9,671.35,19167768,0
2021-04-22,641,660.95,634.4,658.7,19385102,0
2021-04-20,656,662,643,651.75,12296248,0
2021-04-19,650,655.3,631,648.15,17292072,0
2021-04-16,668.65,675.25,662.35,669.2,12242522,0
2021-04-15,666.45,671.35,652.3,668.85,15195951,0
2021-04-13,635.6,664.85,630,661,12737650,0
2021-04-12,651,655,626.65,635.6,14649541,0
2021-04-09,679.3,686.8,667,668.2,12509114,0
2021-04-08,691.5,695.5,679.35,681.6,9026398,0
2021-04-07,680.5,691.9,668.4,688.25,14433515,0
2021-04-06,690.1,693.5,675.5,677.9,12062011,0
2021-04-05,707.2,708.45,677.45,685.25,16239521,0
2021-04-01,706.3,717,695.55,713,13090326,0
2021-03-31,696,703.55,692.1,697.45,14924620,0
2021-03-30,705,713.3,691,695.35,25965742,0
2021-03-26,707,707,693.15,698.2,13143312,0
2021-03-25,709.5,710.9,680,694.6,21179280,0
2021-03-24,723.25,725,703.3,706.4,14379147,0
2021-03-23,718,739.5,714.1,730.55,15949688,0
2021-03-22,719,730,709.3,716.2,14802230,0
2021-03-19,709,729.35,703.5,726.25,20377672,0
2021-03-18,736,743.1,707.25,718.75,12261544,0
2021-03-17,739,742,724.7,727.9,12380976,0
2021-03-16,751,752,735.95,737.75,11358574,0
2021-03-15,754,754,716.65,744.4,22466579,0
2021-03-12,772.6,776.6,745,750.6,16343307,0
2021-03-10,750.5,765.7,749.15,760.75,13377990,0
2021-03-09,758.7,758.7,740,745.45,18951683,0
2021-03-08,735,752.5,732,743.3,13898556,0
2021-03-05,732,744.1,720.5,730.75,16358252,0
2021-03-04,731.1,751.45,731.1,736.8,16896947,0
2021-03-03,740.5,760.8,735.1,753.95,13603791,0
2021-03-02,730.45,740.5,722,731.25,14503453,0
2021-03-01,738,743.5,722.25,728.55,14301187,0
2021-02-26,746,758.7,718.65,724.8,31306177,0
2021-02-25,765,783.5,762.15,770.65,26635119,0
2021-02-24,722,754.9,717.05,749.4,11207286,0
2021-02-23,732.35,734.95,712.6,715.95,16804763,0
2021-02-22,749.65,749.85,715,719.45,18123202,0
2021-02-19,772.9,777.2,741.35,749.65,15634787,0
2021-02-18,775,782,764,777,19685663,0
2021-02-17,774,785,764.3,777.75,16956357,0
2021-02-16,799,799,767,775.05,23968943,0
2021-02-15,759.9,799,753.9,794,20648115,0
2021-02-12,735.5,754.7,734.55,750.4,15668442,0
2021-02-11,731,744.15,731,740.1,11897710,0
2021-02-10,741.55,746.4,726.1,734.8,15140744,0
2021-02-09,735.75,750,726.2,742.5,22307807,0
2021-02-08,726,747.8,726,736.15,15662890,0
2021-02-05,749,766.3,717,719.6,31121503,0
2021-02-04,730,745.5,720.6,743.9,20490289,0
2021-02-03,720,736.8,715.55,733.8,23541361,0
2021-02-02,719.25,744.95,704.2,714.2,28703320,0
2021-02-01,665,717,654.35,709.35,30648270,0
2021-01-29,671,675.85,653,662.9,31273252,0
2021-01-28,622,674.7,616,670.7,64303975,0
2021-01-27,659.95,663.8,627.4,632.1,24462588,0
2021-01-25,654,668,639.35,658.4,21325345,0
2021-01-22,670,673.9,638.8,644.5,21392223,0
2021-01-21,680.75,695,669.75,675.85,15849438,0
2021-01-20,664,680.95,664,675.75,9980614,0
2021-01-19,663.55,671.95,659.75,668.75,9010539,0
2021-01-18,674.45,675,651.15,657,13460603,0
2021-01-15,677.6,682.95,669.6,674.85,12339771,0
2021-01-14,678.5,687.8,674.65,676,9337503,0
2021-01-13,676,691.2,669.05,687.8,15645903,0
2021-01-12,661.3,685,659.25,675.7,13301893,0
2021-01-11,676,676.65,660.15,666.95,7928365,0
2021-01-08,678,678.85,668.5,672.7,12272794,0
2021-01-07,659,676.5,659,671.1,17887570,0
2021-01-06,662,667.15,649.15,654.25,20829645,0
2021-01-05,618,667.9,618,664.45,37973963,0
2021-01-04,627.8,633,621.3,624.7,14068156,0
2021-01-01,620.25,625.45,617.55,623.8,6047062,0
2020-12-31,622.4,625.95,616,620.45,12306502,0
2020-12-30,632.25,634,618.2,625.1,10262221,0
2020-12-29,620.7,632.4,618.6,630.2,13765454,0
2020-12-28,614,620.8,614,617.65,8444506,0
2020-12-24,595,614,594.15,610.2,15488083,0
2020-12-23,589,594.5,584.3,592.45,12247401,0
2020-12-22,585,593.95,568.4,589.75,19896386,0
2020-12-21,605.25,607.25,573.4,582.5,18580262,0
2020-12-18,604.4,611,596.5,609.5,17301814,0
2020-12-17,607.25,611,603.2,605.4,14598759,0
2020-12-16,613.55,614.9,604.8,606.1,14860853,0
2020-12-15,615.75,615.75,602.3,607.1,22311290,0
2020-12-14,616,623.8,612.4,615.9,14567480,0
2020-12-11,626.35,631.65,608.35,613.25,17950692,0
2020-12-10,624.5,632.45,620.35,627.05,16126862,0
2020-12-09,619.15,636.7,619,634.2,22000284,0
2020-12-08,619.1,623.85,611.6,620.65,16005349,0
2020-12-07,616.95,624.4,612.45,619.25,24658169,0
2020-12-04,606.6,616.45,603.2,614.5,20019707,0
2020-12-03,610.15,611,600.35,602.7,17746316,0
2020-12-02,607,613.5,601.25,608.1,19070722,0
2020-12-01,611,615,596.2,603.65,21285697,0
2020-11-27,612,613.65,598.75,601.6,29921076,0
2020-11-26,602.25,618.2,594.05,612.55,35476456,0
2020-11-25,625,630,596,599.85,35115637,0
2020-11-24,603,622.6,600.55,619.65,30742369,0
2020-11-23,610.95,612.6,592.7,595.6,23728765,0
2020-11-20,615,616.5,592,607.85,29556191,0
2020-11-19,619,633,609.05,611.5,26525371,0
2020-11-18,625,640,622.05,636.3,24928180,0
2020-11-17,613.15,630.9,609,628.8,25960060,0
2020-11-14,613.95,618,605.55,613.15,3211214,0
2020-11-13,595,612.35,584.3,610.35,28813262,0
2020-11-12,601.95,610.45,588.8,599.7,34244439,0
2020-11-11,579.85,611.15,576.4,608.65,50289937,0
2020-11-10,572,588,568.25,583.6,34935409,0
2020-11-09,550,568,548.25,565.05,26041462,0
2020-11-06,538.75,546,531.2,541.75,22256961,0
2020-11-05,534.9,542.5,527.55,539.3,23728389,0
2020-11-04,525.1,533.85,511,525.15,28905623,0
2020-11-03,525,537,524,534.15,25991938,0
2020-11-02,496.85,531.7,495.1,522.65,37597227,0
2020-10-30,495,501.55,481.6,492.5,23142307,0
2020-10-29,506,516.35,489.35,493.85,50934761,0
2020-10-28,510.8,517.5,493.5,504.7,30343675,0
2020-10-27,494,512.25,482.65,508.1,24240216,0
2020-10-26,508.25,509.85,490.9,493.35,17446977,0
2020-10-23,513.9,515.5,504.5,507.2,18810270,0
2020-10-22,496,513,495.65,510.3,30022348,0
2020-10-21,496.9,507.5,486.6,501.45,27029707,0
2020-10-20,485.85,498.65,485.1,493.95,21376085,0
2020-10-19,477.05,495.9,476.25,492.95,28131975,0
2020-10-16,465.15,475.5,463,472.4,16288158,0
2020-10-15,473.4,481.95,460,462.6,28987003,0
2020-10-14,458,474.65,454,471.3,13984719,0
2020-10-13,465.9,473,459.75,461.35,15582653,0
2020-10-12,473.5,480,462.3,468,21261504,0
2020-10-09,453.3,469.8,450.15,468.05,28049405,0
2020-10-08,455.55,461.65,447.25,451.9,20909290,0
2020-10-07,447,455.95,443.5,453.1,19873845,0
2020-10-06,449.5,452.7,442.7,449.65,19387356,0
2020-10-05,444.05,456.45,439.05,444.15,24252479,0
2020-10-01,430.2,445.3,427.4,443.7,21083336,0
2020-09-30,427,428.1,418.75,424.65,18485383,0
2020-09-29,442.4,443.3,424.8,426.85,19998529,0
2020-09-28,420,440.6,418.05,439.25,19389041,0
2020-09-25,407.5,416.7,400.15,415.05,20460158,0
2020-09-24,414,414.3,401.15,402.45,21177325,0
2020-09-23,418.1,422.9,406.1,419.75,18613053,0
2020-09-22,424,426.65,406.3,412,27558211,0
2020-09-21,443,444,420.55,423.35,19014199,0
2020-09-18,444.55,449.3,436.05,443.35,20809700,0
2020-09-17,440.95,446.45,438.5,442.9,14306532,0
2020-09-16,449.55,450.6,440,446,20019657,0
2020-09-15,441.05,451.9,435.9,449.55,17328832,0
2020-09-14,452,455,438,440.55,17624795,0
2020-09-11,446,449.85,439.25,447.2,18620876,0
2020-09-10,436.45,448.7,430.75,446.85,34435022,0
2020-09-09,439.9,443.35,425,431.25,31660156,0
2020-09-08,459.8,462.4,441.25,444.35,21052764,0
2020-09-07,457,467.15,450.65,458.7,25967554,0
2020-09-04,469,472.95,452.6,455.2,29405504,0
2020-09-03,488.4,489.95,473.1,474.95,14046055,0
2020-09-02,487,487.95,472.1,484.4,20750735,0
2020-09-01,495.05,503.4,479.65,485.7,33276900,0
2020-08-31,524.45,533.85,486.3,496.75,55830575,0
2020-08-28,476.45,513,476.05,509.2,59180165,0
2020-08-27,464,474.5,464,473.05,19544322,0
